ticker,exchange,asset_type,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_subtype,tv_isin,tv_sector,tv_industry,tv_country,name_match,peer_name_match,decision
159974,SZSE,ETF,央企创新ETF富国,159974,Fullgoal Central State-Owned Enterprises Innovation-Driven ETF,SZSE,fund,etf,CNE1000045C1,,,,False,True,accept
159975,SZSE,ETF,深100ETF招商,159975,China Merchants SZSE 100 Index ETF,SZSE,fund,etf,CNE1000045D9,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159976,SZSE,ETF,湾创ETF工银,159976,ICBC Credit Suisse Guangdong-Hong Kong-Macao Greater Bay Area Innovation 100 Traded Open Index Securities Investment Fund,SZSE,fund,etf,CNE1000045F4,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159977,SZSE,ETF,创业板ETF天弘,159977,TIANHONG GEM Exchanged Opened Index Securities Investment Fund Units,SZSE,fund,etf,CNE1000045G2,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159980,SZSE,ETF,有色ETF大成,159980,Dacheng Non-ferrous Metals Futures ETF,SZSE,fund,etf,CNE1000045K4,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159981,SZSE,ETF,能源化工ETF建信,159981,CCB Yisheng Zhengshang Energy & Chemical ETF,SZSE,fund,etf,CNE1000045L2,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159982,SZSE,ETF,中证500ETF鹏华,159982,Penghua CSI 500 Index ETF Fund,SZSE,fund,etf,CNE1000045M0,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159985,SZSE,ETF,豆粕ETF华夏,159985,China Feed Soybean Meal Futures Trading Open-end Securities Investment Fund ETF,SZSE,fund,etf,CNE1000045Q1,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159991,SZSE,ETF,创业板大盘ETF招商,159991,China Merchants CHINEXT Large Cap Index ETF,SZSE,fund,etf,CNE1000045W9,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159992,SZSE,ETF,创新药ETF银华,159992,Yinhua CSI Brand Name Drug Industry ETF,SZSE,fund,etf,CNE1000045X7,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159993,SZSE,ETF,证券ETF鹏华,159993,Penghua China Securities Leading ETF,SZSE,fund,etf,CNE1000045Y5,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159994,SZSE,ETF,通信ETF银华,159994,Yinhua CSI 5G Communication Index ETF Fund,SZSE,fund,etf,CNE1000045Z2,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159996,SZSE,ETF,家电ETF国泰,159996,Guotai CSI All Share Household Appliances ETF,SZSE,fund,etf,CNE100004611,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159997,SZSE,ETF,电子ETF天弘,159997,Tianhong CSI Electronics ETF,SZSE,fund,etf,CNE100004629,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159998,SZSE,ETF,计算机ETF天弘,159998,Tianhong CSI Computer ETF,SZSE,fund,etf,CNE100004637,Miscellaneous,Investment Trusts/Mutual Funds,Cameroon,False,True,accept
301047,SZSE,Stock,Sino BiologicalInc.,301047,Sino Biological Inc. Class A,SZSE,stock,common,CNE100004Q23,Health Technology,Pharmaceuticals: Major,China,False,True,name_mismatch
301177,SZSE,Stock,DR Corporation Limited,301177,DR Corporation Limited Class A,SZSE,stock,common,CNE100005501,Consumer Durables,Other Consumer Specialties,China,False,True,name_mismatch
301207,SZSE,Stock,Hualan Biological Bacterin Inc.,301207,Hualan Biological Vaccine Inc. Class A,SZSE,stock,common,CNE1000058J9,Health Technology,Biotechnology,China,False,True,name_mismatch
301539,SZSE,Stock,Hongxin Tech Co Ltd,301539,"ZheJiang HongXin Technology Co., Ltd. Class A",SZSE,stock,common,CNE100006HP5,Process Industries,Industrial Specialties,China,False,True,name_mismatch
301589,SZSE,Stock,Novastar Co Ltd,301589,"Xi'an Novastar Tech Co., Ltd. Class A",SZSE,stock,common,CNE100006FM6,Distribution Services,Electronics Distributors,China,False,True,name_mismatch
510100,SSE,ETF,上证50ETF易方达,510100,E FUND SSE 50 INDEX EXCHANGE-TRADED FUND,SSE,fund,etf,CNE100003KZ5,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
510200,SSE,ETF,上证券商ETF汇安,510200,Hui'an SSE Securities ETF,SSE,fund,etf,CNE100003VJ6,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
510350,SSE,ETF,沪深300ETF工银,510350,ICBCCS CSI 300 ETF,SSE,fund,etf,CNE100003HN7,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
510360,SSE,ETF,沪深300ETF广发,510360,GF CSI 300 Index ETF Fund,SSE,fund,etf,CNE100005FK2,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
510370,SSE,ETF,沪深300ETF兴业,510370,CIB CSI 300 ETF,SSE,fund,etf,CNE100003V35,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
510380,SSE,ETF,沪深300ETF国寿,510380,China Life AMP SHSE-SZSE 300 Exchange Traded Fund,SSE,fund,etf,CNE100002SJ4,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
510390,SSE,ETF,沪深300ETF平安,510390,PING AN HS300 ETF,SSE,fund,etf,CNE100002S49,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
510530,SSE,ETF,中证500ETF工银,510530,ICBCCS CSI 500 ETF,SSE,fund,etf,CNE100003XV7,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
510550,SSE,ETF,中证500ETF方正富邦,510550,Founder Fubon CSI 500 Exchange Traded Fund Units,SSE,fund,etf,CNE100003H74,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
510570,SSE,ETF,中证500ETF兴业,510570,CIB CSI 500 Exchange Traded Fund Units,SSE,fund,etf,CNE100003VX7,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
510580,SSE,ETF,中证500ETF易方达,510580,E Fund CSI 500 ETF,SSE,fund,etf,CNE100005FL0,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
510590,SSE,ETF,中证500ETF平安,510590,PING AN CSI 500 Exchange Traded Fund Units,SSE,fund,etf,CNE100002S15,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
510600,SSE,ETF,上证50ETF申万菱信,510600,SWS SSE 50 Exchange Traded Fund,SSE,fund,etf,CNE100003126,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
510710,SSE,ETF,上证50ETF博时,510710,Bosera SSE 50 Index ETF,SSE,fund,etf,CNE100006KP9,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
510720,SSE,ETF,Guotai Asset Management Co Ltd - Dividend Monthly ETF,510720,Guotai SSE state-Owned Enterprise Dividends Exchange Traded Fund Units,SSE,fund,etf,CNE100006GD3,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,name_mismatch
510760,SSE,ETF,上证指数ETF国泰,510760,Guotai SSE Composite Index ETF,SSE,fund,etf,CNE100004DM6,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
