ticker,exchange,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_isin,tv_sector,tv_industry,sector_update,decision
AUSC,LSE,Abrdn UK Smaller Companies Growth Trust PLC,AUSC,Aberdeen UK Smaller Companies Growth Trust plc GBP,LSE,fund,GB0002959582,Miscellaneous,Investment Trusts/Mutual Funds,,asset_type_mismatch
AUUA,TSXV,Aluula Composites Inc.,AUUA,Aluula Composites Inc,TSXV,stock,CA0223173091,Finance,Financial Conglomerates,,unsupported_sector
AVII.P,TSXV,Antera Ventures II Corp.,AVII.P,Antera Ventures II Corp.,TSXV,stock,CA03675K1030,Finance,Financial Conglomerates,,unsupported_sector
AWEM,LSE,Ashoka WhiteOak Emerging Mrkt,AWEM,Ashoka Whiteoak Emerging Markets Trust Plc,LSE,fund,GB00BMZR7D19,Miscellaneous,Investment Trusts/Mutual Funds,,asset_type_mismatch
AXB,LSE,AXIS BANK LIMITED,,,,,,,,,no_tradingview_match
AXBA,LSE,AXIS BANK LD GDR EACH REPR 5 EQTY SHS(144A),AXBA,Axis Bank Limited Sponsored GDR 144A,LSE,dr,US05462W3079,Finance,Major Banks,,asset_type_mismatch
AXET.P,TSXV,Axe2 Acquisitions Inc.,AXET.P,"Axe2 Acquisitions, Inc.",TSXV,stock,CA05460C1059,Finance,Financial Conglomerates,,unsupported_sector
AXO,TSXV,AXO Copper Corp.,AXO,Axo Metals Corp.,TSXV,stock,CA05465W1068,Non-Energy Minerals,Other Metals/Minerals,,name_mismatch
AZC.P,TSXV,A2ZCryptocap Inc.,AZC.P,A2ZCryptocap Inc,TSXV,stock,CA00249B1067,Finance,Financial Conglomerates,,unsupported_sector
BA69,LSE,CITY OF LONDON INVESTMENT TRUST PLC 4.2% CUM 1ST PRF STK,,,,,,,,,no_tradingview_match
BAQ.P,TSXV,Bluewater Acquisition Corp.,,,,,,,,,no_tradingview_match
BASC,LSE,Brown Advisory US Smaller Companies PLC,BASC,Brown Advisory US Smaller Companies PLC GBP,LSE,fund,GB0003463402,Miscellaneous,Investment Trusts/Mutual Funds,,asset_type_mismatch
BC88,LSE,CHEMRING GROUP PLC 7% CUM PRF #1,,,,,,,,,no_tradingview_match
BCEE3,B3,BANCO BESA S/A,,,,,,,,,no_tradingview_match
BCEE5,B3,BANCO BESA S/A,,,,,,,,,no_tradingview_match
BCPS3,B3,CLARO S.A.,,,,,,,,,no_tradingview_match
BCPS4,B3,CLARO S.A.,,,,,,,,,no_tradingview_match
BEGB4,B3,BANCO BERJ S.A.,,,,,,,,,no_tradingview_match
BETP3,B3,BETAPART PARTICIPACOES S.A.,BETP3,Betapart Participacoes SA,BMFBOVESPA,stock,BRBETPACNOR3,Miscellaneous,Miscellaneous,,unsupported_sector
BFFT3,B3,Bluefit Academias de Ginástica e Participações S.A,,,,,,,,,no_tradingview_match
BFSP,LSE,Blackfinch Spring VCT PLC,BFSP,Blackfinch Spring VCT Plc,LSE,fund,GB00BKV46W45,Miscellaneous,Investment Trusts/Mutual Funds,,asset_type_mismatch
BIPS,LSE,Invesco Bond Income Plus Limited,BIPS,Invesco Bond Income Plus Limited,LSE,fund,JE00B6RMDP68,Miscellaneous,Investment Trusts/Mutual Funds,,asset_type_mismatch
BKMA,LSE,BANKMUSCAT (S.A.O.G) GDR (EACH REPR 4 COM STK) (144A),BKMA,Bank Muscat SAOG Sponsored GDR 144A,LSE,dr,US0637461015,Finance,Regional Banks,,asset_type_mismatch
BLCC.P,TSXV,Bow Lake Capital Corp.,BLCC.P,Bow Lake Capital Corp,TSXV,stock,CA10215F1062,Finance,Financial Conglomerates,,unsupported_sector
