isin,listing_key,ticker,exchange,is_primary
AU000000AGL7,FSX::N9Z1,N9Z1,FSX,0
AU000000AGL7,XSTU::N9Z1,N9Z1,XSTU,0
AU000000AGY0,ASX::AGY,AGY,ASX,1
AU000000AGY0,FSX::AM1,AM1,FSX,0
AU000000AGY0,OTC::ARYMF,ARYMF,OTC,0
AU000000AIS8,ASX::AIS,AIS,ASX,1
AU000000AIS8,OTC::ARSRF,ARSRF,OTC,0
AU000000AJL1,ASX::AJL,AJL,ASX,1
AU000000AJL1,OTC::AJLGF,AJLGF,OTC,0
AU000000AJL1,FSX::FW9,FW9,FSX,0
AU000000AJX6,ASX::AJX,AJX,ASX,1
AU000000AJX6,FSX::E7T,E7T,FSX,0
AU000000AJX6,XSTU::E7T,E7T,XSTU,0
AU000000AKM7,ASX::AKM,AKM,ASX,1
AU000000AKM7,FSX::WKU,WKU,FSX,0
AU000000ALK9,ASX::ALK,ALK,ASX,1
AU000000ALK9,FSX::AK7,AK7,FSX,0
AU000000ALK9,OTC::ALKEF,ALKEF,OTC,0
AU000000ALL7,ASX::ALL,ALL,ASX,1
AU000000ALL7,FSX::AC8,AC8,FSX,0
AU000000ALL7,XSTU::AC8,AC8,XSTU,0
AU000000ALL7,OTC::ARLUF,ARLUF,OTC,0
AU000000ALQ6,ASX::ALQ,ALQ,ASX,1
AU000000ALQ6,FSX::CP4,CP4,FSX,0
AU000000ALQ6,XSTU::CP4,CP4,XSTU,0
AU000000ALY0,ASX::ALY,ALY,ASX,1
AU000000ALY0,FSX::45A,45A,FSX,0
AU000000AMA8,ASX::AMA,AMA,ASX,1
AU000000AMA8,OTC::AMGRF,AMGRF,OTC,0
AU000000AMA8,FSX::KC7,KC7,FSX,0
AU000000AMI1,ASX::AMI,AMI,ASX,1
AU000000AMI1,OTC::AUMTF,AUMTF,OTC,0
AU000000AMI1,FSX::YTR,YTR,FSX,0
AU000000AMI1,XSTU::YTR,YTR,XSTU,0
AU000000AMN1,ASX::AMN,AMN,ASX,1
AU000000AMN1,FSX::3CL,3CL,FSX,0
AU000000AMP6,ASX::AMP,AMP,ASX,1
AU000000AMP6,OTC::AMLTF,AMLTF,OTC,0
AU000000AMP6,FSX::AMP,AMP,FSX,0
AU000000ANG3,ASX::ANG,ANG,ASX,1
AU000000ANG3,OTC::AUSTF,AUSTF,OTC,0
AU000000ANG3,FSX::RZA,RZA,FSX,0
AU000000ANN9,ASX::ANN,ANN,ASX,1
AU000000ANN9,OTC::ANSLF,ANSLF,OTC,0
AU000000ANN9,FSX::PD1A,PD1A,FSX,0
AU000000ANN9,XDUS::PD1A,PD1A,XDUS,0
AU000000ANN9,XSTU::PD1A,PD1A,XSTU,0
AU000000ANO7,ASX::ANO,ANO,ASX,1
AU000000ANO7,OTC::ADVNF,ADVNF,OTC,0
AU000000ANO7,FSX::BBJ,BBJ,FSX,0
