listing_key,ticker,exchange,isin,wkn,figi,cik,lei,figi_source,cik_source,lei_source
SZSE::000543,000543,SZSE,CNE000000DF9,,BBG000BZGD03,,,OpenFIGI,,
SZSE::000544,000544,SZSE,CNE000000F30,,BBG000BZGN83,,,OpenFIGI,,
SZSE::000545,000545,SZSE,CNE0000002F7,,,,,,,
SZSE::000546,000546,SZSE,CNE0000004G1,,BBG000BZCFG5,,,OpenFIGI,,
SZSE::000547,000547,SZSE,CNE000000DM5,,BBG000BZBBR3,,,OpenFIGI,,
SZSE::000548,000548,SZSE,CNE000000DT0,,BBG000BZC7T9,,,OpenFIGI,,
HKEX::00055,00055,HKEX,BMG6433R1319,,BBG000BDWZJ5,,,OpenFIGI,,
SZSE::000550,000550,SZSE,CNE000000CV8,,BBG000BZCBZ3,,,OpenFIGI,,
SZSE::000551,000551,SZSE,CNE000000FP3,,BBG000BZB364,,,OpenFIGI,,
SZSE::000552,000552,SZSE,CNE000000D40,,BBG000BZDQZ9,,,OpenFIGI,,
SZSE::000553,000553,SZSE,CNE0000004V0,,BBG000BZBZ36,,,OpenFIGI,,
SZSE::000554,000554,SZSE,CNE000000669,,BBG000BZG5P3,,,OpenFIGI,,
SZSE::000555,000555,SZSE,CNE000000FM0,,BBG000BZFHG8,,,OpenFIGI,,
SZSE::000557,000557,SZSE,CNE000000FQ1,,BBG000P67XD4,,,OpenFIGI,,
SZSE::000558,000558,SZSE,CNE0000003V2,,BBG000BZCXW8,,,OpenFIGI,,
SZSE::000559,000559,SZSE,CNE000000FB3,,BBG000BZGC69,,,OpenFIGI,,
SZSE::000560,000560,SZSE,CNE000000636,,BBG000BZCHY1,,,OpenFIGI,,
SZSE::000561,000561,SZSE,CNE0000005K0,,BBG000BZ9759,,,OpenFIGI,,
SZSE::000563,000563,SZSE,CNE0000004F3,,BBG000BZDZW2,,,OpenFIGI,,
SZSE::000564,000564,SZSE,CNE0000003W0,,BBG000BZGJP3,,,OpenFIGI,,
SZSE::000565,000565,SZSE,CNE000000305,,BBG000BZ9FM2,,,OpenFIGI,,
SZSE::000566,000566,SZSE,CNE0000004W8,,BBG000P69V19,,,OpenFIGI,,
SZSE::000567,000567,SZSE,CNE0000005V7,,BBG000P69KG7,,,OpenFIGI,,
SZSE::000568,000568,SZSE,CNE000000GF2,,BBG000BZCQF2,,,OpenFIGI,,
HKEX::00057,00057,HKEX,BMG208741063,,BBG000BDVQT5,,,OpenFIGI,,
SZSE::000570,000570,SZSE,CNE000000GT3,,BBG000P64CH9,,,OpenFIGI,,
SZSE::000571,000571,SZSE,CNE000000586,,BBG000P69T23,,,OpenFIGI,,
SZSE::000572,000572,SZSE,CNE0000006L6,,BBG000P69HV7,,,OpenFIGI,,
SZSE::000573,000573,SZSE,CNE0000003D0,,BBG000P668R5,,,OpenFIGI,,
SZSE::000576,000576,SZSE,CNE0000005H6,,BBG000P6CBX4,,,OpenFIGI,,
HKEX::00058,00058,HKEX,BMG858331389,,BBG000BJB9Z5,,,OpenFIGI,,
SZSE::000581,000581,SZSE,CNE0000002G5,,BBG000P6M441,,,OpenFIGI,,
SZSE::000582,000582,SZSE,CNE0000001M5,,BBG000P64655,,,OpenFIGI,,
SZSE::000586,000586,SZSE,CNE0000000H7,,BBG000P6K9Q8,,,OpenFIGI,,
SZSE::000589,000589,SZSE,CNE000000JH2,,BBG000P67ZP6,,,OpenFIGI,,
HKEX::00059,00059,HKEX,BMG8220B1476,,BBG000BGNY47,,549300HOUABT02D17I63,OpenFIGI,,GLEIF
KRX::000590,000590,KRX,KR7000590000,,,,,,,
SZSE::000590,000590,SZSE,CNE000000701,,,,,,,
SZSE::000591,000591,SZSE,CNE0000000K1,,BBG000P662V3,,,OpenFIGI,,
SZSE::000592,000592,SZSE,CNE0000009F2,,BBG000P67QF7,,,OpenFIGI,,
SZSE::000593,000593,SZSE,CNE000000032,,BBG000P64G35,,,OpenFIGI,,
SZSE::000595,000595,SZSE,CNE000000K09,,BBG000P6M8D2,,,OpenFIGI,,
SZSE::000596,000596,SZSE,CNE000000MD5,,BBG000P64227,,,OpenFIGI,,
SZSE::000597,000597,SZSE,CNE0000009G0,,BBG000P6F528,,,OpenFIGI,,
SZSE::000598,000598,SZSE,CNE000000HN4,,BBG000HP61F0,,,OpenFIGI,,
SZSE::000599,000599,SZSE,CNE000000K17,,BBG000GBW699,,,OpenFIGI,,
KRX::0005A0,0005A0,KRX,KR70005A0007,,BBG01RLBB133,,,OpenFIGI,,
KRX::0005C0,0005C0,KRX,KR70005C0005,,BBG01RQ1X895,,,OpenFIGI,,
KRX::0005D0,0005D0,KRX,KR70005D0004,,BBG01RLBB375,,,OpenFIGI,,
KRX::0005G0,0005G0,KRX,KR70005G0001,,BBG01RVXCTX9,,,OpenFIGI,,
Bursa::0006,0006,Bursa,MYQ0006OO005,,BBG000BGR2V3,,,OpenFIGI,,
HKEX::00060,00060,HKEX,HK0060028229,,BBG000BDXJH2,,,OpenFIGI,,
SZSE::000600,000600,SZSE,CNE000000FT5,,BBG000P6HQJ2,,,OpenFIGI,,
SZSE::000601,000601,SZSE,CNE0000009H8,,BBG000P67W00,,,OpenFIGI,,
SZSE::000603,000603,SZSE,CNE000000H04,,BBG000P6LZ52,,,OpenFIGI,,
SZSE::000605,000605,SZSE,CNE000000LX5,,BBG000P65XQ2,,,OpenFIGI,,
SZSE::000607,000607,SZSE,CNE000000D65,,BBG000P660M7,,,OpenFIGI,,
SZSE::000608,000608,SZSE,CNE000000982,,BBG000P6KH26,,,OpenFIGI,,
SZSE::000609,000609,SZSE,CNE0000007Z4,,BBG000P60TN9,,,OpenFIGI,,
HKEX::00061,00061,HKEX,BMG4165P1427,,,,,,,
SZSE::000610,000610,SZSE,CNE000000D73,,BBG000P6MCH9,,,OpenFIGI,,
SZSE::000612,000612,SZSE,CNE000000826,,BBG000P6CMR7,,,OpenFIGI,,
SZSE::000615,000615,SZSE,CNE0000007D1,,BBG000P69NZ0,,,OpenFIGI,,
SZSE::000617,000617,SZSE,CNE000000MS3,,BBG000P6CGK7,,,OpenFIGI,,
SZSE::000619,000619,SZSE,CNE000000MR5,,BBG000P6M646,,,OpenFIGI,,
HKEX::00062,00062,HKEX,BMG9031M1082,,BBG000BDXPC3,,,OpenFIGI,,
SZSE::000620,000620,SZSE,CNE000000958,,BBG000P6B050,,,OpenFIGI,,
SZSE::000623,000623,SZSE,CNE000000719,,BBG000P6CQS7,,,OpenFIGI,,
SZSE::000625,000625,SZSE,CNE000000R36,,BBG000P65NX6,,,OpenFIGI,,
SZSE::000626,000626,SZSE,CNE000000H12,,BBG000P6CXK0,,,OpenFIGI,,
SZSE::000628,000628,SZSE,CNE0000005X3,,BBG000P64DJ5,,,OpenFIGI,,
SZSE::000629,000629,SZSE,CNE0000007H2,,BBG000P6F957,,,OpenFIGI,,
HKEX::00063,00063,HKEX,BMG2123P1059,,BBG000BDXZQ6,,,OpenFIGI,,
SZSE::000630,000630,SZSE,CNE000000529,,BBG000P63ZT6,,,OpenFIGI,,
SZSE::000631,000631,SZSE,CNE000000990,,BBG000P6CV79,,,OpenFIGI,,
SZSE::000632,000632,SZSE,CNE000000685,,BBG000P67LY7,,,OpenFIGI,,
SZSE::000633,000633,SZSE,CNE000000081,,BBG000P6JWZ9,,,OpenFIGI,,
