listing_key,ticker,exchange,asset_type,isin,instrument_group_key,instrument_scope,scope_reason,primary_listing_key
HKEX::06136,06136,HKEX,Stock,KYG521541048,KYG521541048,core,primary_listing,HKEX::06136
HKEX::06138,06138,HKEX,Stock,CNE100001SB3,CNE100001SB3,core,primary_listing,HKEX::06138
HKEX::06158,06158,HKEX,Stock,KYG9897E1098,KYG9897E1098,core,primary_listing,HKEX::06158
HKEX::06160,06160,HKEX,Stock,CH1391448177,CH1391448177,core,primary_listing,HKEX::06160
HKEX::06162,06162,HKEX,Stock,KYG844001035,KYG844001035,core,primary_listing,HKEX::06162
HKEX::06163,06163,HKEX,Stock,KYG378791068,KYG378791068,core,primary_listing,HKEX::06163
HKEX::06166,06166,HKEX,Stock,CNE1000075T2,CNE1000075T2,core,primary_listing,HKEX::06166
HKEX::06168,06168,HKEX,Stock,CNE100006Z38,CNE100006Z38,core,primary_listing,HKEX::06168
HKEX::06169,06169,HKEX,Stock,KYG2120K1094,KYG2120K1094,core,primary_listing,HKEX::06169
HKEX::06178,06178,HKEX,Stock,CNE1000029M4,CNE1000029M4,core,primary_listing,HKEX::06178
HKEX::06181,06181,HKEX,Stock,CNE100006JG0,CNE100006JG0,core,primary_listing,HKEX::06181
HKEX::06182,06182,HKEX,Stock,KYG9143C1050,KYG9143C1050,core,primary_listing,HKEX::06182
HKEX::06185,06185,HKEX,Stock,CNE100003F01,CNE100003F01,core,primary_listing,HKEX::06185
HKEX::06186,06186,HKEX,Stock,KYG2121Q1055,KYG2121Q1055,core,primary_listing,HKEX::06186
HKEX::06188,06188,HKEX,Stock,CNE100001ST5,CNE100001ST5,core,primary_listing,HKEX::06188
HKEX::06189,06189,HKEX,Stock,CNE100002B71,CNE100002B71,core,primary_listing,HKEX::06189
HKEX::06190,06190,HKEX,Stock,CNE1000031G2,CNE1000031G2,core,primary_listing,HKEX::06190
HKEX::06193,06193,HKEX,Stock,KYG8661H1083,KYG8661H1083,core,primary_listing,HKEX::06193
HKEX::06196,06196,HKEX,Stock,CNE1000023P0,CNE1000023P0,core,primary_listing,HKEX::06196
HKEX::06198,06198,HKEX,Stock,CNE100001SG2,CNE100001SG2,core,primary_listing,HKEX::06198
HKEX::06199,06199,HKEX,Stock,CNE100003PT7,CNE100003PT7,core,primary_listing,HKEX::06199
HKEX::06288,06288,HKEX,Stock,US31188H2004,US31188H2004,core,primary_listing,HKEX::06288
HKEX::06600,06600,HKEX,Stock,CNE100007DF3,CNE100007DF3,core,primary_listing,HKEX::06600
HKEX::06601,06601,HKEX,Stock,KYG2072S1003,KYG2072S1003,core,primary_listing,HKEX::06601
HKEX::06603,06603,HKEX,Stock,SGXZ26193953,SGXZ26193953,core,primary_listing,HKEX::06603
HKEX::06608,06608,HKEX,Stock,KYG0705A1085,KYG0705A1085,core,primary_listing,HKEX::06608
HKEX::06609,06609,HKEX,Stock,CNE100004MN5,CNE100004MN5,core,primary_listing,HKEX::06609
HKEX::06610,06610,HKEX,Stock,KYG3670B1196,KYG3670B1196,core,primary_listing,HKEX::06610
HKEX::06611,06611,HKEX,Stock,KYG7823E1026,KYG7823E1026,core,primary_listing,HKEX::06611
HKEX::06613,06613,HKEX,Stock,CNE1000070N6,CNE1000070N6,core,primary_listing,HKEX::06613
HKEX::06616,06616,HKEX,Stock,KYG392AS1011,KYG392AS1011,core,primary_listing,HKEX::06616
HKEX::06618,06618,HKEX,Stock,KYG5074A1004,KYG5074A1004,core,primary_listing,HKEX::06618
HKEX::06622,06622,HKEX,Stock,KYG989M51017,KYG989M51017,core,primary_listing,HKEX::06622
HKEX::06623,06623,HKEX,Stock,KYG5700Y2097,KYG5700Y2097,core,primary_listing,HKEX::06623
HKEX::06626,06626,HKEX,Stock,HK0000746575,HK0000746575,core,primary_listing,HKEX::06626
HKEX::06628,06628,HKEX,Stock,KYG9005B1041,KYG9005B1041,core,primary_listing,HKEX::06628
HKEX::06633,06633,HKEX,Stock,KYG7309C1096,KYG7309C1096,core,primary_listing,HKEX::06633
HKEX::06636,06636,HKEX,Stock,CNE100007J94,CNE100007J94,core,primary_listing,HKEX::06636
HKEX::06639,06639,HKEX,Stock,KYG0567M1096,KYG0567M1096,core,primary_listing,HKEX::06639
HKEX::06651,06651,HKEX,Stock,CNE100007CX8,CNE100007CX8,core,primary_listing,HKEX::06651
HKEX::06655,06655,HKEX,Stock,CNE1000057N3,CNE1000057N3,core,primary_listing,HKEX::06655
HKEX::06657,06657,HKEX,Stock,CNE100006K01,CNE100006K01,core,primary_listing,HKEX::06657
HKEX::06660,06660,HKEX,Stock,CNE100005KF2,CNE100005KF2,core,primary_listing,HKEX::06660
HKEX::06661,06661,HKEX,Stock,CNE100005D19,CNE100005D19,core,primary_listing,HKEX::06661
