ticker,exchange,asset_type,name,b3_code,b3_name,b3_sector_pt,b3_subsector,b3_segment,sector_update,decision
IVPR4B,B3,Stock,INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR,IVPR,INVEPAR,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,Industrials,accept
JCBA6,B3,Stock,J C BARRETTO FERTILIZANTES S.A.,JCBA,,,,,,no_b3_code_match
KALS5,B3,Stock,KA 2 LAUNDRY SERVICES S.A.,KALS,,,,,,no_b3_code_match
KALU3,B3,Stock,KALUNGA S.A,KALU,,,,,,no_b3_code_match
KLAS3,B3,Stock,KALLAS INCORPORACOES E CONSTRUCOES S.A.,KLAS,KALLAS,Consumo Cíclico,Construção Civil,Incorporações,Consumer Discretionary,accept
LAZT3,B3,Stock,LAGO AZUL TRANSMISSO S.A.,LAZT,,,,,,no_b3_code_match
LLBI3,B3,Stock,CVLB BRASIL S.A.,LLBI,LE BISCUIT,Consumo Cíclico,Comércio,Produtos Diversos,Consumer Discretionary,accept
LMED3,B3,Stock,LIFEMED INDUSTRIAL EQUIP. DE ART. MÉD. HOSP. S.A.,LMED,LIFEMED,Saúde,Equipamentos,Equipamentos,Health Care,accept
LOGS3,B3,Stock,LOGASA INDUSTRIA E COMERCIO S.A.,LOGS,,,,,,no_b3_code_match
LOGS4,B3,Stock,LOGASA INDUSTRIA E COMERCIO S.A.,LOGS,,,,,,no_b3_code_match
LTEL3B,B3,Stock,LITEL PARTICIPACOES S.A.,LTEL,LITEL,Materiais Básicos,Mineração,Minerais Metálicos,Materials,accept
LTLA3B,B3,Stock,LITELA PARTICIPAÇÕES S.A.,LTLA,LITELA,Materiais Básicos,Mineração,Minerais Metálicos,Materials,accept
MAQN3,B3,Stock,MAQUINA DE VENDAS BRASIL PARTICIPAÇÕES S.A.,MAQN,,,,,,no_b3_code_match
MAQN4,B3,Stock,MAQUINA DE VENDAS BRASIL PARTICIPAÇÕES S.A.,MAQN,,,,,,no_b3_code_match
MCRJ11B,B3,Stock,MUNICÍPIO DO RIO DE JANEIRO,MCRJ,CEPAC - MCRJ,Financeiro,Outros Títulos,Outros Títulos,Financials,accept
MDIN3,B3,Stock,MUNDIAL INC,MDIN,,,,,,no_b3_code_match
MDSI3,B3,Stock,MUNDIAL ASIA HONG KONG,MDSI,,,,,,no_b3_code_match
MGFB3,B3,Stock,M&G FIBRAS HOLDING S.A.,MGFB,,,,,,no_b3_code_match
MKSS3,B3,Stock,MKS SOLUÇÕES INTEGRADAS S.A.,MKSS,,,,,,no_b3_code_match
MMAQ3,B3,Stock,MINASMAQUINAS S.A.,MMAQ,MINASMAQUINA,Bens Industriais,Comércio,Material de Transporte,Industrials,accept
MMAQ4,B3,Stock,MINASMAQUINAS S.A.,MMAQ,MINASMAQUINA,Bens Industriais,Comércio,Material de Transporte,Industrials,accept
MMBR3,B3,Stock,MAGNETI MARELLI DO BRASIL IND.COM S.A.,MMBR,,,,,,no_b3_code_match
MMBR4,B3,Stock,MAGNETI MARELLI DO BRASIL IND.COM S.A.,MMBR,,,,,,no_b3_code_match
MMCA3,B3,Stock,MAGNETI MARELLI COFAP AUTOPECAS S.A.,MMCA,,,,,,no_b3_code_match
MMCA4,B3,Stock,MAGNETI MARELLI COFAP AUTOPECAS S.A.,MMCA,,,,,,no_b3_code_match
MMCF3,B3,Stock,MAGNETI MARELLI COFAP-CIA FABR PECAS S/A,MMCF,,,,,,no_b3_code_match
MMCF4,B3,Stock,MAGNETI MARELLI COFAP-CIA FABR PECAS S/A,MMCF,,,,,,no_b3_code_match
MNBI3,B3,Stock,MLOG S.A.,MNBI,,,,,,no_b3_code_match
MSPA4,B3,Stock,CIA MELHORAMENTOS DE SAO PAULO,MSPA,MELHOR SP,Materiais Básicos,Madeira e Papel,Papel e Celulose,Materials,accept
MTAL3,B3,Stock,CIMETAL SIDERURGIA S/A,MTAL,,,,,,no_b3_code_match
MTAL6,B3,Stock,CIMETAL SIDERURGIA S/A,MTAL,,,,,,no_b3_code_match
MTNR5,B3,Stock,METANOR - METANOL DO NORDESTE S.A.,MTNR,,,,,,no_b3_code_match
MTNR7,B3,Stock,METANOR - METANOL DO NORDESTE S.A.,MTNR,,,,,,no_b3_code_match
MWIS6,B3,Stock,MWI - SISTEMA DE COMUNICACAO S.A.,MWIS,,,,,,no_b3_code_match
NAII3,B3,Stock,NAI HOLDINGS S.A.,NAII,,,,,,no_b3_code_match
NAII4,B3,Stock,NAI HOLDINGS S.A.,NAII,,,,,,no_b3_code_match
NEMO3,B3,Stock,SUZANO HOLDING S.A.,NEMO,SUZANO HOLD,Materiais Básicos,Madeira e Papel,Papel e Celulose,Materials,accept
NEMO5,B3,Stock,SUZANO HOLDING S.A.,NEMO,SUZANO HOLD,Materiais Básicos,Madeira e Papel,Papel e Celulose,Materials,accept
NEMO6,B3,Stock,SUZANO HOLDING S.A.,NEMO,SUZANO HOLD,Materiais Básicos,Madeira e Papel,Papel e Celulose,Materials,accept
NESB3,B3,Stock,NESBER S.A.,NESB,,,,,,no_b3_code_match
NIPL3,B3,Stock,NIPLAN ENGENHARIA S.A.,NIPL,,,,,,no_b3_code_match
NKEP3,B3,Stock,NK 031 EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,NKEP,,,,,,no_b3_code_match
NKEP4,B3,Stock,NK 031 EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,NKEP,,,,,,no_b3_code_match
NODA3,B3,Stock,NOVADATA SISTEMAS E COMPUTADORES S/A,NODA,,,,,,no_b3_code_match
NODA6,B3,Stock,NOVADATA SISTEMAS E COMPUTADORES S/A,NODA,,,,,,no_b3_code_match
NOVI3,B3,Stock,NORTIS INCORPORADORA E CONSTRUTORA S.A.,NOVI,,,,,,no_b3_code_match
NXVL3,B3,Stock,NOXVILLE INVESTIMENTOS S.A.,NXVL,,,,,,no_b3_code_match
NXVL4,B3,Stock,NOXVILLE INVESTIMENTOS S.A.,NXVL,,,,,,no_b3_code_match
OBAH3,B3,Stock,GRUPO FARTURA DE HORTIFRUT S/A,OBAH,,,,,,no_b3_code_match
OBIO3,B3,Stock,OLEOPLAN S.A - ÓLEOS VEGETAIS PLANALTO,OBIO,,,,,,no_b3_code_match
OBTC3,B3,Stock,ORANJEBTC S.A. - EDUCAÇÃO E INVESTIMENTO,OBTC,,,,,,no_b3_code_match
ODER3,B3,Stock,CONSERVAS ODERICH S.A.,ODER,ODERICH,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,Consumer Staples,accept
ODER4,B3,Stock,CONSERVAS ODERICH S.A.,ODER,ODERICH,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,Consumer Staples,accept
ODTR3,B3,Stock,OTP S.A.,ODTR,,,,,,no_b3_code_match
OPDL3B,B3,Stock,DALETH PARTICIPACOES S.A.,OPDL,,,,,,no_b3_code_match
OPGM3,B3,Stock,GAMA PARTICIPACOES S.A.,OPGM,,,,,,no_b3_code_match
OPSE3,B3,Stock,SUDESTE S.A.,OPSE,,,,,,no_b3_code_match
OPTS3,B3,Stock,SUL 116 PARTICIPACOES S.A.,OPTS,,,,,,no_b3_code_match
ORNA4B,B3,Stock,ORNATO S.A. INDL DE PISOS E AZULEJOS,ORNA,,,,,,no_b3_code_match
P5RD3,B3,Stock,MATRIZ COMPANHIA METALURGICA PRADA,P,,,,,,no_b3_code_match
PASS3,B3,Stock,COMPASS GAS E ENERGIA S.A.,PASS,COMPASS,Utilidade Pública,Gás,Gás,Utilities,accept
PASS5,B3,Stock,COMPASS GAS E ENERGIA S.A.,PASS,COMPASS,Utilidade Pública,Gás,Gás,Utilities,accept
PASS6,B3,Stock,COMPASS GAS E ENERGIA S.A.,PASS,COMPASS,Utilidade Pública,Gás,Gás,Utilities,accept
PCBU3,B3,Stock,PACAEMBU CONSTRUTORA S.A.,PCBU,,,,,,no_b3_code_match
PCEM13,B3,Stock,PORTO PECEM GERACAO ENERGIA S/A,PCEM,,,,,,no_b3_code_match
PCEM14,B3,Stock,PORTO PECEM GERACAO ENERGIA S/A,PCEM,,,,,,no_b3_code_match
PCEM15,B3,Stock,PORTO PECEM GERACAO ENERGIA S/A,PCEM,,,,,,no_b3_code_match
PCEM16,B3,Stock,PORTO PECEM GERACAO ENERGIA S/A,PCEM,,,,,,no_b3_code_match
PCEM17,B3,Stock,PORTO PECEM GERACAO ENERGIA S/A,PCEM,,,,,,no_b3_code_match
PCFV4,B3,Stock,POCOS DE FERVEDOURO S.A.,PCFV,,,,,,no_b3_code_match
PINE3,B3,Stock,BCO PINE S.A.,PINE,PINE,Financeiro,Intermediários Financeiros,Bancos,Financials,accept
PLFS3,B3,Stock,POLO FILMS INDUSTRIA E COMERCIO SA,PLFS,,,,,,no_b3_code_match
PLSP3,B3,Stock,PLASCORP PARTICIPAÇÕES S.A.,PLSP,,,,,,no_b3_code_match
PMSP11B,B3,Stock,PREFEITURA MUNICIPAL DE SAO PAULO,PMSP,CEPAC - PMSP,Financeiro,Outros Títulos,Outros Títulos,Financials,accept
PMSP12B,B3,Stock,PREFEITURA MUNICIPAL DE SAO PAULO,PMSP,CEPAC - PMSP,Financeiro,Outros Títulos,Outros Títulos,Financials,accept
PMSP13B,B3,Stock,PREFEITURA MUNICIPAL DE SAO PAULO,PMSP,CEPAC - PMSP,Financeiro,Outros Títulos,Outros Títulos,Financials,accept
PMSP14B,B3,Stock,PREFEITURA MUNICIPAL DE SAO PAULO,PMSP,CEPAC - PMSP,Financeiro,Outros Títulos,Outros Títulos,Financials,accept
PPAR3,B3,Stock,POLPAR S.A.,PPAR,,,,,,no_b3_code_match
PRMN3B,B3,Stock,PRODUTORES ENERGET.DE MANSO S.A.- PROMAN,PRMN,PROMAN,Utilidade Pública,Energia Elétrica,Energia Elétrica,Utilities,accept
PRPT3,B3,Stock,PROMPT PARTICIPACOES S.A.,PRPT,,,,,,no_b3_code_match
