financialdata_symbol,base_ticker,suffix,mapped_exchange,registrant_name,source_confidence,review_needed,observed_at,match_status,recommended_action,current_universe,review_scope,quality_gate,listing_keys,matched_names,same_ticker_listing_keys,same_ticker_exchanges,name_match_count,name_mismatch_count
COGN3.SA,COGN3,.SA,B3,Cogna Educação S.A.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::COGN3,COGNA EDUCAÇÃO S.A.,B3::COGN3,B3,1,0
CPFE3.SA,CPFE3,.SA,B3,CPFL Energia S.A.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::CPFE3,CPFL ENERGIA S.A.,B3::CPFE3,B3,1,0
CPLE3.SA,CPLE3,.SA,B3,Companhia Paranaense de Energia,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::CPLE3,CIA PARANAENSE DE ENERGIA - COPEL,B3::CPLE3,B3,1,0
CSAN3.SA,CSAN3,.SA,B3,Cosan S.A.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::CSAN3,COSAN S.A.,B3::CSAN3,B3,1,0
CSNA3.SA,CSNA3,.SA,B3,Companhia Siderúrgica Nacional SA,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::CSNA3,CIA SIDERURGICA NACIONAL,B3::CSNA3,B3,1,0
CYRE3.SA,CYRE3,.SA,B3,Cyrela Brazil Realty S.A Empreendimentos e Participações,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::CYRE3,CYRELA BRAZIL REALTY S.A.EMPREEND E PART,B3::CYRE3,B3,1,0
DASA3.SA,DASA3,.SA,B3,Diagnósticos da América S.A.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::DASA3,DIAGNOSTICOS DA AMERICA S.A.,B3::DASA3,B3,1,0
DXCO3.SA,DXCO3,.SA,B3,Dexco S.A.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::DXCO3,DEXCO S.A.,B3::DXCO3,B3,1,0
ECOR3.SA,ECOR3,.SA,B3,EcoRodovias Infraestrutura e Logística S.A.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::ECOR3,ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,B3::ECOR3,B3,1,0
EGIE3.SA,EGIE3,.SA,B3,ENGIE Brasil Energia S.A.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::EGIE3,ENGIE BRASIL ENERGIA S.A.,B3::EGIE3,B3,1,0
ELET3.SA,ELET3,.SA,B3,Centrais Elétricas Brasileiras S.A.,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,true,current_exchange_gap,needs_official_source_or_isin,,,,,0,0
EMBR3.SA,EMBR3,.SA,B3,Embraer S.A.,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,true,current_exchange_gap,needs_official_source_or_isin,,,,,0,0
ENEV3.SA,ENEV3,.SA,B3,Eneva S.A.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::ENEV3,ENEVA S.A,B3::ENEV3,B3,1,0
ESTR3.SA,ESTR3,.SA,B3,Manufatura de Brinquedos Estrela S.A.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::ESTR3,MANUFATURA DE BRINQUEDOS ESTRELA S.A.,B3::ESTR3,B3,1,0
EVEN3.SA,EVEN3,.SA,B3,Even Construtora e Incorporadora S.A.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::EVEN3,EVEN CONSTRUTORA E INCORPORADORA S.A.,B3::EVEN3,B3,1,0
GFSA3.SA,GFSA3,.SA,B3,Gafisa SA,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::GFSA3,GAFISA S.A.,B3::GFSA3,B3,1,0
GGBR3.SA,GGBR3,.SA,B3,Gerdau S.A.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::GGBR3,GERDAU S.A.,B3::GGBR3,B3,1,0
GOLL4.SA,GOLL4,.SA,B3,GOL Linhas Aéreas Inteligentes S.A.,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,true,current_exchange_gap,needs_official_source_or_isin,,,,,0,0
