listing_key,action,ticker,exchange,asset_type,isin,old_name,new_name,source_key,reference_scope,source_url,observation_id,evidence_status
LSE::IUIT,proposed,IUIT,LSE,ETF,IE00B3WJKG14,iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),ISHARES V PLC ISHRS S&P 500 INF TECH SECT ETF USD ACC,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,b80bc60c6edac0c4b04812a2,active_official_exact_listing_isin_name
LSE::IUMS,proposed,IUMS,LSE,ETF,IE00B4MKCJ84,iShares S&P 500 Materials Sector UCITS ETF USD (Acc),ISHARES V PLC ISHRS SP500 MAT SCTR UCITS ETF USD ACC,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,76b770263bb511e0197bdbdf,active_official_exact_listing_isin_name
LSE::IWFQ,proposed,IWFQ,LSE,ETF,IE00BP3QZ601,iShares MSCI World Quality Factor UCITS,ISHARES IV PLC ISHS EDGE MSCI WRLD QLTY FAC ETF USD ACC,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,d54da78964ef5ae33597d1bb,active_official_exact_listing_isin_name
LSE::IWFV,proposed,IWFV,LSE,ETF,IE00BP3QZB59,iShares MSCI World Value Factor UCITS,ISHARES IV PLC ISHS EDGE MSCI WRL VAL FCT UCITS ETF ACC,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,40b88edf59c243d214b8c127,active_official_exact_listing_isin_name
LSE::IWMO,proposed,IWMO,LSE,ETF,IE00BP3QZ825,iShares MSCI World Momentum Factor UCITS,ISHARES IV PLC ISHS EDGE MSCI WLD MMNT FACT ETF USD ACC,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,62a74e0871145aec7a6c54c7,active_official_exact_listing_isin_name
LSE::JEDT,proposed,JEDT,LSE,Stock,GB00BMTS0Z37,JPMorgan Euro Small Companies Trust Plc,JPMORGAN EUROPEAN DISCOVERY TRUST PLC,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,67ca9e98f71e35cb8f6d5857,active_official_exact_listing_isin_name
LSE::JIBG,proposed,JIBG,LSE,ETF,IE00BN4RDY28,JPM USD Corporate Bond Research Enhanced Index (ESG) UCITS ETF USD Dis GBP,JPMORGAN ETFS (IRELAND) ICAV JPM USD IG CORP UCITS ETF USD DIS,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,70d3a0d78c99ad2e02051cc6,active_official_exact_listing_isin_name
LSE::JLP,proposed,JLP,LSE,Stock,GB0031852162,Jubilee Platinum,JUBILEE METALS GROUP PLC,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,6dd5c244fccd416a4aaa3e8a,active_official_exact_listing_isin_name
LSE::JSUE,proposed,JSUE,LSE,ETF,IE00069JGT58,JPM US Research Enhanced Index Equity SRI Paris Aligned UCITS ETF,JPMORGAN ETFS (IRELAND) ICAV JPM US REI SRI PA UCITS ETF USD ACC,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,90d26ee351ea8a3bc16ef293,active_official_exact_listing_isin_name
LSE::LDME,proposed,LDME,LSE,ETF,IE00BMYDMC42,L&G Quality Equity Dividends ESG Exclusions Emerging Markets UCITS ETF,LEGAL & GENERAL UCITS ETF PLC L&G EM QUALITY DIV EQ WEIGHT USD DIST,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,cf410affe5ce77cb7029cba4,active_official_exact_listing_isin_name
