ticker,exchange,asset_type,name,sec_cik,sec_ticker,sec_exchange,sec_name,sec_sic,sec_sic_description,sector_update,number_tokens_match,name_match,decision
FIGI,OTC,Stock,Freedom Internet Group Inc,,,,,,,,False,False,no_sec_match
FKST,OTC,Stock,Flowerkist Skin Care & Cosmetics Inc,,,,,,,,False,False,no_sec_match
FLDAY,OTC,Stock,Fluidra S.A,,,,,,,,False,False,no_sec_match
FLHLF,OTC,Stock,Filament Health Corp,,,,,,,,False,False,no_sec_match
FLQAF,OTC,Stock,FRANKLIN LIBERTYSHARES ICAV,,,,,,,,False,False,no_sec_match
FMTYF,OTC,Stock,BANCO INVEX SA,,,,,,,,False,False,no_sec_match
FNMCD,OTC,Stock,First Nordic Metals Corp.,,,,,,,,False,False,no_sec_match
FNOXF,OTC,Stock,Fortnox AB (publ),,,,,,,,False,False,no_sec_match
FNTTF,OTC,Stock,Fantasy 360 Technologies Inc,,,,,,,,False,False,no_sec_match
FOGCF,OTC,Stock,Avisa Diagnostics Inc,,,,,,,,False,False,no_sec_match
FOMTF,OTC,Stock,FORMATION METALS INC,,,,,,,,False,False,no_sec_match
FOTRF,OTC,Stock,FRONTIER RE INVST,,,,,,,,False,False,no_sec_match
FPBC,OTC,Stock,Friendly Hills Bancorp,,,,,,,,False,False,no_sec_match
FPCG,OTC,Stock,First Physicians Capital Group Inc,,,,,,,,False,False,no_sec_match
FRBP,OTC,Stock,Franklin BSP Capital Corp,1825248,FRBP,OTC,Franklin BSP Capital Corp,,,,True,True,missing_sic
FRIIF,OTC,Stock,MGI Digital Technology Société Anonyme,,,,,,,,False,False,no_sec_match
FSBH,OTC,Stock,First Southern Bank,,,,,,,,False,False,no_sec_match
FTCFF,OTC,Stock,FMS ENTERPRISES MIGUN LTD,,,,,,,,False,False,no_sec_match
FTNQF,OTC,Stock,First Trust Global Funds Plc,,,,,,,,False,False,no_sec_match
FTRAF,OTC,Stock,First Trust Global Funds Plc,,,,,,,,False,False,no_sec_match
FTSRF,OTC,Stock,First Trust Global Funds Plc,,,,,,,,False,False,no_sec_match
FTUAF,OTC,Stock,Fuller Smith & Turner P.L.C,,,,,,,,False,False,no_sec_match
FUISF,OTC,Stock,Fubon Financial Holding Co. Ltd,,,,,,,,False,False,no_sec_match
FUSED,OTC,Stock,Fuse Battery Metals Inc.,,,,,,,,False,False,no_sec_match
FXCOF,OTC,Stock,Foxconn Technology Co. Ltd.,,,,,,,,False,False,no_sec_match
FXGDF,OTC,Stock,FELIX GOLD LTD.,,,,,,,,False,False,no_sec_match
GALMF,OTC,Stock,GALILEO MNG LTD,,,,,,,,False,False,no_sec_match
GBAT,OTC,Stock,Grayscale Basic Attention Token Trust,1852040,GBAT,OTC,Grayscale Basic Attention Token Trust (BAT),,,,True,True,missing_sic
GCRCF,OTC,Stock,Golcap Resources Corp,,,,,,,,False,False,no_sec_match
GDIGF,OTC,Stock,Nuclear Vision Limited,,,,,,,,False,False,no_sec_match
GDNSF,OTC,Stock,Goodness Growth Holdings Inc,,,,,,,,False,False,no_sec_match
GDRPF,OTC,Stock,Golden Resources Development International Limited,,,,,,,,False,False,no_sec_match
GEDSF,OTC,Stock,Richter Gedeon Vegyészeti Gyár Nyilvánosan Muködo Rt,,,,,,,,False,False,no_sec_match
GFTFF,OTC,Stock,Grafton Resources Inc.,2103596,GFTFF,OTC,Grafton Resources Inc.,,,,True,True,missing_sic
GGAAF,OTC,Stock,Genesis Growth Tech Acquisition Corp.,,,,,,,,False,False,no_sec_match
GGAUF,OTC,Stock,Genesis Growth Tech Acquisition Corp.,,,,,,,,False,False,no_sec_match
GGGFF,OTC,Stock,GoGo AI Network Inc.,,,,,,,,False,False,no_sec_match
GIVPY,OTC,Stock,Grupo de Inversiones Suramericana S.A,,,,,,,,False,False,no_sec_match
GLABF,OTC,Stock,Gemina Laboratories Ltd,,,,,,,,False,False,no_sec_match
GLBGF,OTC,Stock,Globrands Ltd,,,,,,,,False,False,no_sec_match
GLFN,OTC,Stock,McHenry Metals Golf Corp,,,,,,,,False,False,no_sec_match
GLHRF,OTC,Stock,Golden Harp Resources Inc,,,,,,,,False,False,no_sec_match
GLVNF,OTC,Stock,Gallant Venture Ltd,,,,,,,,False,False,no_sec_match
GMPRD,OTC,Stock,Unique Global Innovative Solutions Corp,,,,,,,,False,False,no_sec_match
GMRCD,OTC,Stock,Gelum Resources Ltd.,,,,,,,,False,False,no_sec_match
GNCNF,OTC,Stock,Gencan Capital Inc,,,,,,,,False,False,no_sec_match
