ticker,name,exchange,asset_type,stock_sector,etf_category,country,country_code,isin,aliases,source_kind,source_exchange,source_mic,eodhd_exchange,eodhd_type,figi,lei,opendart_corp_code
2PP,PayPal Holdings Inc,FSX,Stock,,,Germany,DE,US70450Y1038,,stocks,FSX,XFRA,F,Common Stock,BBG009K25BG6,,
2PP0,PAYPAL HOLDINGS INC. CDR,FSX,Stock,,,Germany,DE,CA70452C1095,PayPal Holdings Inc.,stocks,FSX,XFRA,F,Common Stock,BBG013N99QL7,,
2PQ,Organogenesis Holdings Inc,FSX,Stock,,,Germany,DE,US68621F1021,Organogenesis Holdings Inc.,stocks,FSX,XFRA,F,Common Stock,BBG00NN98CH1,,
2PR3,Pruksa Holding Public Company Limited,FSX,Stock,,,Germany,DE,TH7595010R10,,stocks,FSX,XFRA,F,Common Stock,BBG00GXP1G05,,
2PT,NORTH PACIFIC BANK LTD,FSX,Stock,,,Germany,DE,JP3843400007,North Pacific Bank Ltd.,stocks,FSX,XFRA,F,Common Stock,BBG00YZ4VTS0,,
2PW,HAZAMA ANDO CORP.,FSX,Stock,,,Germany,DE,JP3767810009,Hazama Ando Corporation,stocks,FSX,XFRA,F,Common Stock,BBG00NDKL7R2,,
2PX,PIONEERING TECHNOL.CORP.,FSX,Stock,,,Germany,DE,CA72403R1029,Pioneering Technology Corp.,stocks,FSX,XFRA,F,Common Stock,BBG00J239B05,,
2Q9,TEMPLE + WEBSTER GRP,FSX,Stock,,,Germany,DE,AU000000TPW5,Temple & Webster Group Ltd,stocks,FSX,XFRA,F,Common Stock,BBG00QDKJTQ1,,
2QB0,OCUMETICS TECHNOLOGY CORP,FSX,Stock,,,Germany,DE,CA67577H1047,Ocumetics Technology Corp.,stocks,FSX,XFRA,F,Common Stock,BBG0185GRZ30,,
2QO,Qorvo Inc,FSX,Stock,,,Germany,DE,US74736K1016,Qorvo Inc.,stocks,FSX,XFRA,F,Common Stock,BBG007V75BY7,,
2QPA,PROSPER GOLD CORP.,FSX,Stock,,,Germany,DE,CA74359T2074,Prosper Gold Corp.,stocks,FSX,XFRA,F,Common Stock,BBG00J23B328,,
2QR,Qrf Comm. VA,FSX,Stock,,,Germany,DE,BE0974272040,,stocks,FSX,XFRA,F,Common Stock,BBG005WYC843,,
2QT,Qt Group Oyj,FSX,Stock,,,Germany,DE,FI4000198031,Qt Group Plc,stocks,FSX,XFRA,F,Common Stock,BBG00CW5C869,,
2QZ,AETHER CATALYST SOLUT.,FSX,Stock,,,Germany,DE,CA00810C1032,Aether Catalyst Solutions Inc.,stocks,FSX,XFRA,F,Common Stock,BBG00R46X292,,
2RC,CREDIT CORP. GROUP LTD.,FSX,Stock,,,Germany,DE,AU000000CCP3,Credit Corp Group Limited,stocks,FSX,XFRA,F,Common Stock,BBG00LZGJ339,,
2RG,Europris ASA,XDUS,Stock,,,Germany,DE,NO0010735343,,stocks,XDUS,XDUS,DU,Common Stock,BBG009H8NQF5,,
2RG,Europris ASA,Munich,Stock,,,Germany,DE,NO0010735343,,stocks,Munich,XMUN,MU,Common Stock,BBG009H8NQF5,,
2RG,Europris ASA,FSX,Stock,,,Germany,DE,NO0010735343,,stocks,FSX,XFRA,F,Common Stock,BBG009H8NQF5,,
2RJA,"Phunware, Inc.",FSX,Stock,,,Germany,DE,US71948P2092,Phunware Inc.,stocks,FSX,XFRA,F,Common Stock,BBG00NK9L6T9,,
2RM,RE/MAX Holdings Inc,FSX,Stock,,,Germany,DE,US75524W1080,Re/Max Holdings Inc.,stocks,FSX,XFRA,F,Common Stock,BBG005D0PGR1,,
2RR,Alibaba Group Holding Limited,FSX,Stock,,,Germany,DE,KYG017191142,Alibaba Group Holding Ltd.,stocks,FSX,XFRA,F,Common Stock,BBG00QYZL8S6,,
2RS0,Minehub Technologies Inc.,FSX,Stock,,,Germany,DE,CA60273M2040,,stocks,FSX,XFRA,F,Common Stock,BBG012LS8D20,,
2RX,RADISSON MINING RES. A,FSX,Stock,,,Germany,DE,CA76125W5054,Radisson Mining Resources Inc.,stocks,FSX,XFRA,F,Common Stock,BBG00J23CDJ7,,
2S1,AirBoss of America Corporation,FSX,Stock,,,Germany,DE,CA00927V2003,AirBoss of America Corp.,stocks,FSX,XFRA,F,Common Stock,BBG00QX7RWL7,,
2SE,SEQUANA MEDICAL N.V.,FSX,Stock,,,Germany,DE,BE0974340722,Sequana Medical NV,stocks,FSX,XFRA,F,Common Stock,BBG00NBJSLY1,,
2SF,Sparebank 1 Ostlandet,FSX,Stock,,,Germany,DE,NO0010751910,SpareBank 1 Østlandet,stocks,FSX,XFRA,F,Common Stock,BBG00H0K77P7,,
2SI,Stifel Financial Corp,FSX,Stock,,,Germany,DE,US8606301021,Stifel Financial Corp.,stocks,FSX,XFRA,F,Common Stock,BBG004KTXXR7,,
2SO0,GOLCAP RESOURCES CORP,FSX,Stock,,,Germany,DE,CA3804732079,Golcap Resources Corp.,stocks,FSX,XFRA,F,Common Stock,BBG00ZL6YVF3,,
2SV,ZIM Integrated Shipping Services Ltd.,FSX,Stock,,,Germany,DE,IL0065100930,,stocks,FSX,XFRA,F,Common Stock,BBG00Z3WLT56,,
2SY,CAB Payments Holdings Limited,FSX,Stock,,,Germany,DE,GB00BMCYKB41,Cab Payments Holdings plc,stocks,FSX,XFRA,F,Common Stock,BBG01H9X4ZZ9,,
2T1,Tecogen Inc.,FSX,Stock,,,Germany,DE,US87876P2011,,stocks,FSX,XFRA,F,Common Stock,BBG006L3HXX9,,
2T20,FAIRVEST LTD.,FSX,Stock,,,Germany,DE,ZAE000304796,Fairvest Ltd.,stocks,FSX,XFRA,F,Common Stock,BBG00QD3N951,,
2T8,Townsquare Media Inc,FSX,Stock,,,Germany,DE,US8922311019,Townsquare Media Inc.,stocks,FSX,XFRA,F,Common Stock,BBG006WXVMH7,,
2TG,Steris PLC,FSX,Stock,,,Germany,DE,IE00BFY8C754,STERIS plc,stocks,FSX,XFRA,F,Common Stock,BBG00NRWR1W2,,
2TJ,Tejon Ranch Co,XSTU,Stock,,,Germany,DE,US8790801091,Tejon Ranch Co.,stocks,XSTU,XSTU,STU,Common Stock,BBG00GW587V9,,
2TJ,Tejon Ranch Co,FSX,Stock,,,Germany,DE,US8790801091,Tejon Ranch Co.,stocks,FSX,XFRA,F,Common Stock,BBG00GW587V9,,
