ticker,exchange,asset_type,name,tmx_symbol,tmx_name,tmx_exchange,tmx_sector,tmx_subsector,sector_update,decision
R.P,TSXV,Stock,Rockport Capital Corp.,R.P,Rockport Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
RAC.P,TSXV,Stock,Riverwalk Acquisition Corp.,RAC.P,Riverwalk Acquisition Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
RCR-P,TSXV,Stock,Canna 8 Investment Trust,RCR.P,Canna 8 Investment Trust,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
REBL.P,TSXV,Stock,Genesis Acquisition Corp.,REBL.P,Genesis Acquisition Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
RENT.P,TSXV,Stock,Shine Box Capital Corp.,RENT.P,Shine Box Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
REVV,TSXV,Stock,ReVolve Renewable Power Corp.,,,,,,,no_tmx_symbol_match
RME,TSXV,Stock,Roland Minerals Enterprises Corp.,RME,Roland Minerals Enterprises Corp.,TSXV,Mining,,Materials,accept
RNCH,TSXV,Stock,Ranchero Gold Corp.,RNCH,Ranchero Gold Corp.,TSXV,Mining,,Materials,accept
ROSH.P,TSXV,Stock,Roshni Capital Inc.,ROSH.P,Roshni Capital Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
RPR,TSX,Stock,Ravelin Properties REIT,RPR,Ravelin Properties REIT,TSX,Real Estate,,Real Estate,accept
RRCC.P,TSXV,Stock,Raging Rhino Capital Corp.,RRCC.P,Raging Rhino Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
RSC.P,TSXV,Stock,Rockmount Capital Corporation,RSC.P,Rockmount Capital Corporation,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
RUCC.P,TSXV,Stock,Rupert's Crossing Capital Inc.,RUCC.P,Rupert's Crossing Capital Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
RVC.P,TSXV,Stock,Ronin Ventures Corp.,RVC.P,Ronin Ventures Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
SAC.P,TSXV,Stock,Savanna Capital Corp.,SAC.P,Savanna Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
SAWC.P,TSXV,Stock,Sayward Capital Corp.,SAWC.P,Sayward Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
SBEL.P,TSXV,Stock,Sanibel Ventures Corp.,SBEL.P,Sanibel Ventures Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
SDCI.P,TSXV,Stock,St. Davids Capital Inc.,SDCI.P,St. Davids Capital Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
SEGN,TSXV,Stock,Seegnal Inc.,SEGN,Seegnal Inc.,TSXV,Life Sciences,,Health Care,accept
SEVN.P,TSXV,Stock,Seven Oaks Capital Corp.,SEVN.P,Seven Oaks Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
SHK.P,TSXV,Stock,Sparrowhawk Opportunity Corp.,SHK.P,Sparrowhawk Opportunity Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
SHLL.P,TSXV,Stock,Shellron Capital Ltd.,SHLL.P,Shellron Capital Ltd.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
SLT,TSX,Stock,Saltire Capital Ltd.,SLT,Saltire Capital Ltd.,TSX,Financial Services,,Financials,accept
SLX.P,TSXV,Stock,Searchlight Innovations Inc.,SLX.P,Searchlight Innovations Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
SMNS,TSX,Stock,Siemens CDR (CAD Hedged),SMNS,Siemens CDR (CAD Hedged),TSX,CDR,,,unsupported_or_ambiguous_tmx_sector
SNY,TSX,Stock,Sanofi CDR (CAD Hedged),SNY,Sanofi CDR (CAD Hedged),TSX,CDR,,,unsupported_or_ambiguous_tmx_sector
SOLI.P,TSXV,Stock,Solid Impact Investments Corp.,SOLI.P,Solid Impact Investments Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
SOO.P,TSXV,Stock,Spectre Capital Corp.,SOO.P,Spectre Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
SPAC,TSX,Stock,Mercer Park Opportunities Corp.,SPAC,Mercer Park Opportunities Corp.,TSX,SPAC,,,unsupported_or_ambiguous_tmx_sector
SPAC-U,TSX,Stock,Mercer Park Opportunities Corp Ordinary Shares - Class A (Restricted Voting,SPAC,Mercer Park Opportunities Corp.,TSX,SPAC,,,unsupported_or_ambiguous_tmx_sector
SPRO.P,TSXV,Stock,Sprock-It Acquisitions Ltd.,,,,,,,no_tmx_symbol_match
SPSA.P,TSXV,Stock,SP Strategic Acquisition Corp.,SPSA.P,SP Strategic Acquisition Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
SRQ,TSXV,Stock,Sonoma Resources Inc.,SRQ,SRQ Resources Inc.,TSXV,Mining,,Materials,accept
SSS.P,TSXV,Stock,Samurai Capital Corp.,,,,,,,no_tmx_symbol_match
SSSS.P,TSXV,Stock,Shooting Star Acquisition Corp.,SSSS.P,Shooting Star Acquisition Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
SSX,TSXV,Stock,Sleeping Giant Capital Corp.,SSX,Sleeping Giant Capital Corp.,TSXV,Financial Services,,Financials,accept
SURF-UN,TSXV,Stock,Starlight U.S. Residential Fund (Multi-Family) Investment LP,SURF,Starlight U.S. Residential Fund (Multi-Family) Investment LP,TSXV,Real Estate,,Real Estate,accept
