ticker,exchange,asset_type,name,sec_security_type,sec_name,sec_symbol,sec_isin_local,decision
MGT,SET,Stock,MEGACHEM (THAILAND) PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท เมกาเคม (ประเทศไทย) จำกัด (มหาชน),MGT,TH7735010004,accept
ML,SET,Stock,"MIDA LEASING PUBLIC CO., LTD.",หุ้นสามัญ,บริษัท ไมด้า ลิสซิ่ง จำกัด (มหาชน),ML,TH0785A10Z04,accept
MORE,SET,Stock,MORE RETURN PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท มอร์ รีเทิร์น จำกัด (มหาชน),MORE,TH4150010Y00,accept
MSC,SET,Stock,METRO SYSTEMS CORPORATION PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท เมโทรซิสเต็มส์คอร์ปอเรชั่น จำกัด (มหาชน),MSC,TH0569010Z04,accept
MTI,SET,Stock,MUANG THAI INSURANCE PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท เมืองไทยประกันภัย จำกัด (มหาชน),MTI,TH0985010Z02,accept
NEW,SET,Stock,WATTANA KARNPAET PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท วัฒนาการแพทย์ จำกัด (มหาชน),NEW,TH0575010002,accept
NEX,SET,Stock,NEX POINT PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท เน็กซ์ พอยท์ จำกัด (มหาชน),NEX,TH0825010Y01,accept
NOVA,SET,Stock,NOVA EMPIRE PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท โนวา เอมไพร์ จำกัด (มหาชน),NOVA,TH0318010Z06,accept
NPK,SET,Stock,NEW PLUS KNITTING PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท นิวพลัสนิตติ้ง จำกัด (มหาชน),NPK,TH0127010005,accept
NRF,SET,Stock,NR INSTANT PRODUCE PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท เอ็นอาร์ อินสแตนท์ โปรดิวซ์ จำกัด (มหาชน),NRF,TH9882010001,accept
NTV,SET,Stock,NONTHAVEJ HOSPITAL PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท โรงพยาบาลนนทเวช จำกัด (มหาชน),NTV,TH0421010Z08,accept
NWR,SET,Stock,NAWARAT PATANAKARN PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัทเนาวรัตน์พัฒนาการ จำกัด (มหาชน),NWR,TH0526A10Z08,accept
NYT,SET,Stock,NAMYONG TERMINAL PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท นามยง เทอร์มินัล จำกัด (มหาชน),NYT,TH5008010Z08,accept
OGC,SET,Stock,OCEAN GLASS PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท โอเชียนกลาส จำกัด (มหาชน),OGC,TH0360010001,accept
OR,SET,Stock,PTT OIL AND RETAIL BUSINESS PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท ปตท. น้ำมันและการค้าปลีก จำกัด (มหาชน),OR,THA099010003,accept
PAP,SET,Stock,PACIFIC PIPE PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท แปซิฟิกไพพ์ จำกัด (มหาชน),PAP,TH0805A10Z00,accept
PB,SET,Stock,PRESIDENT BAKERY PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท เพรซิเดนท์ เบเกอรี่ จำกัด (มหาชน),PB,TH0687010Z04,accept
PDG,SET,Stock,PRODIGY PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท พรอดดิจิ จำกัด (มหาชน),PDG,TH5420010008,accept
PG,SET,Stock,PEOPLE'S GARMENT PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท ประชาอาภรณ์ จำกัด (มหาชน),PG,TH0126010Z03,accept
PL,SET,Stock,PHATRA LEASING PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท ภัทรลิสซิ่ง จำกัด (มหาชน),PL,TH0599010Z01,accept
PLAT,SET,Stock,THE PLATINUM GROUP PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท เดอะ แพลทินัม กรุ๊ป จำกัด (มหาชน),PLAT,TH6329010008,accept
PM,SET,Stock,PREMIER MARKETING PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท พรีเมียร์ มาร์เก็ตติ้ง จำกัด (มหาชน),PM,TH0977010Z09,accept
PPM,SET,Stock,PORN PROM METAL PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท พรพรหมเม็ททอล จำกัด (มหาชน),PPM,TH0806010Z00,accept
PPS,SET,Stock,PROJECT PLANNING SERVICE PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท โปรเจค แพลนนิ่ง เซอร์วิส จำกัด (มหาชน),PPS,TH3801010002,accept
PREB,SET,Stock,PRE-BUILT PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท พรีบิลท์ จำกัด (มหาชน),PREB,TH0871010003,accept
PT,SET,Stock,PREMIER TECHNOLOGY PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท พรีเมียร์ เทคโนโลยี จำกัด (มหาชน),PT,TH0229010Z05,accept
PTG,SET,Stock,PTG ENERGY PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท พีทีจี เอ็นเนอยี จำกัด (มหาชน),PTG,TH4547010009,accept
RAM,SET,Stock,RAMKHAMHAENG HOSPITAL PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท โรงพยาบาลรามคำแหง จำกัด (มหาชน),RAM,TH0259A10Z01,accept
RCL,SET,Stock,REGIONAL CONTAINER LINES PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท อาร์ ซี แอล จำกัด (มหาชน),RCL,TH0133010Z09,accept
