ticker,exchange,asset_type,name,nyse_symbol,nyse_issuer_name,nyse_issue_name,nyse_instrument_type,nyse_isin,nyse_asset_class,nyse_strategy,isin_update,category_update,decision
FGII,NASDAQ,Stock,FG Imperii Acquisition Corp. Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
FLD,NASDAQ,Stock,"Fold Holdings, Inc. Class A Common Stock",,,,,,,,,,name_mismatch
FLNA,NASDAQ,Stock,"Filana Therapeutics, Inc.",,,,,,,,,,no_nyse_sample_match
FMED,NASDAQ,ETF,Fidelity Disruptive Medicine ETF,FMED,Fidelity Disruptive Medicine ETF,ETF,ETF,US3160921470,,,,,no_update
FMKT,NYSE ARCA,ETF,The Free Markets ETF,,,,,,,,,,no_nyse_sample_match
FMTL,NYSE ARCA,ETF,First Trust Indxx Critical Metals ETF,,,,,,,,,,no_nyse_sample_match
FNGB,NYSE ARCA,ETF,MicroSectors™ FANG+™ 3x Leveraged ETNs,,,,,,,,,,no_nyse_sample_match
FPAG,BATS,ETF,Northern Lights Fund Trust III - FPA Global Equity ETF,,,,,,,,,,name_mismatch
FPWR,NYSE ARCA,ETF,First Trust EIP Power Solutions ETF,,,,,,,,,,no_nyse_sample_match
FRIZ,NYSE ARCA,ETF,Franklin Dividend Growth ETF,,,,,,,,,,no_nyse_sample_match
FSOL,NYSE ARCA,ETF,Fidelity Solana Fund,,,,,,,,,,no_nyse_sample_match
FTHB,NYSE ARCA,ETF,FIS Faith Income ETF,,,,,,,,,,no_nyse_sample_match
FVAV,NASDAQ,Stock,Fortress Value Acquisition Corp. V Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
GAP,NYSE,Stock,"The Gap, Inc.",,,,,,,,,,name_mismatch
GAST,NYSE ARCA,ETF,Gabelli ETFs Trust,GAST,Gabelli ETFs Trust,Gabelli Automation ETF,ETF,US36261K3014,EQUITY,ACTIVE,,Equity,accept_etf_category
GAVA,NASDAQ,ETF,Grayscale Avalanche Trust ETF Common Units of Fractional Undivided Beneficial Interest,,,,,,,,,,no_nyse_sample_match
GBHI,NYSE ARCA,ETF,Gabelli High Income ETF,,,,,,,,,,no_nyse_sample_match
GBXA,BATS,ETF,Goldman Sachs ETF Trust Goldman,,,,,,,,,,no_nyse_sample_match
GDFN,NASDAQ,ETF,Tema International Defense Innovation ETF,,,,,,,,,,no_nyse_sample_match
GDMA,BATS,ETF,Alpha Architect Gdsdn Dynmc Mlt-Asst ETF,,,,,,,,,,name_mismatch
GEME,NASDAQ,ETF,Pacific North of South EM Equity Active ETF,,,,,,,,,,no_nyse_sample_match
GEOA,NYSE ARCA,ETF,WisdomTree GeoAlpha Opportunities Fund,,,,,,,,,,no_nyse_sample_match
GEW,NASDAQ,ETF,Cambria Global EW ETF,,,,,,,,,,no_nyse_sample_match
GGTL,NYSE ARCA,ETF,Gabelli Global Technology Leaders ETF,,,,,,,,,,no_nyse_sample_match
GK,NYSE ARCA,ETF,AdvisorShares Gerber Kawasaki ETF,GK,AdvisorShares Trust,AdvisorShares Gerber Kawasaki ETF,ETF,US00768Y3707,EQUITY,ACTIVE,,Equity,accept_etf_category
GKAT,NASDAQ,ETF,Scharf Global Opportunity ETF,,,,,,,,,,no_nyse_sample_match
GLCR,NASDAQ,ETF,GlacierShares Nasdaq Iceland ETF,,,,,,,,,,no_nyse_sample_match
GMOC,NYSE ARCA,ETF,GMO ETF Trust (Name to be changed from The 2023 ETF Series Trust II),,,,,,,,,,no_nyse_sample_match
GMOD,NYSE ARCA,ETF,GMO Dynamic Allocation ETF,,,,,,,,,,no_nyse_sample_match
GMOV,NYSE ARCA,ETF,GMO U.S. Value ETF,GMOV,The 2023 ETF Series Trust II,GMO US Value ETF,ETF,US90139K6055,EQUITY,ACTIVE,US90139K6055,,accept_isin
GOLS,NYSE ARCA,ETF,Gabelli Opportunities in Live and Sports ETF,,,,,,,,,,no_nyse_sample_match
GOOD,NASDAQ,Stock,Gladstone Commercial Corporation,GOOD,Gladstone Commercial Corp,COM USD.001,A,US3765361080,,,US3765361080,,accept_isin
GOOG,NASDAQ,Stock,Alphabet Inc Class C,,,,,,,,,,name_mismatch
GOOW,BATS,ETF,Roundhill Etf Trust - Roundhill Google Weeklypay Etf,,,,,,,,,,no_nyse_sample_match
GPGI,NYSE,Stock,"GPGI, Inc.",,,,,,,,,,no_nyse_sample_match
GQI,NYSE ARCA,ETF,Natixis ETF Trust,,,,,,,,,,name_mismatch
GRML,NASDAQ,Stock,Greenland Mines Ltd,,,,,,,,,,no_nyse_sample_match
GRMLW,NASDAQ,Stock,Greenland Mines Ltd,,,,,,,,,,no_nyse_sample_match
GRW,NASDAQ,ETF,TCW Compounders ETF,GRW,TCW ETF Trust,TCW Compounders ETF,ETF,US29287L6011,EQUITY,ACTIVE,US29287L6011,Equity,accept_isin_etf_category
GSOL,NYSE ARCA,ETF,Grayscale Solana Trust ETF,,,,,,,,,,no_nyse_sample_match
GTR,NASDAQ,ETF,WisdomTree Target Range Fund,GTR,WisdomTree Target Range Fund,ETF,ETF,US97717Y6757,,,,,no_update
HAKY,NYSE ARCA,ETF,Amplify ETF Trust,,,,,,,,,,no_nyse_sample_match
HBTA,NYSE ARCA,ETF,Horizon Expedition Plus ETF,,,,,,,,,,no_nyse_sample_match
HBTC,BATS,ETF,Fortuna Hedged Bitcoin Fund,,,,,,,,,,no_nyse_sample_match
HECA,NYSE ARCA,ETF,Hedgeye Capital Allocation ETF,,,,,,,,,,no_nyse_sample_match
HEFT,NYSE ARCA,ETF,Hedgeye Fourth Turning ETF,,,,,,,,,,no_nyse_sample_match
HELS,NYSE ARCA,ETF,Hedgeye 130/30 Equity ETF,,,,,,,,,,no_nyse_sample_match
HERZ,NASDAQ,ETF,"Herzfeld Credit Income Fund, Inc",,,,,,,,,,no_nyse_sample_match
HFND,NYSE,ETF,Unlimited HFND Multi-Strategy Return Tracker ETF,HFND,Tidal ETF Trust,Unlimited HFND Multi-Strategy Return Tracker ETF,ETF,US8863644394,HYBRID,ACTIVE,,Multi-Asset,accept_etf_category
HFSI,BATS,ETF,Hartford Strategic Income ETF,,,,,,,,,,no_nyse_sample_match
HLXC,NASDAQ,Stock,Helix Acquisition Corp. III Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
HOLD,NYSE ARCA,ETF,Harbor Alpha Layering ETF,,,,,,,,,,no_nyse_sample_match
