ticker,exchange,asset_type,name,bse_scrip_code,bse_security_id,bse_name,bse_isin,bse_sector,bse_industry,bse_group,bse_subgroup,sector_update,name_match,isin_match,decision,error
GUJCRAFT,BSE_IN,Stock,Gujarat Craft Industries Ltd,526965,GUJCRAFT,Gujarat Craft Industries Ltd,INE372D01019,Industrials,Capital Goods,Industrial Products,Packaging,Industrials,True,True,accept,
GUJCRED,BSE_IN,Stock,Gujarat Credit Corporation Ltd,511441,GUJCRED,Gujarat Credit Corporation Ltd,INE034B01019,Financial Services,Financial Services,Finance,Other Financial Services,Financials,True,True,accept,
GUJHYSPIN,BSE_IN,Stock,Gujarat Hy-Spin Ltd,540938,GUJHYSPIN,Gujarat Hy-Spin Ltd,INE578V01013,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,Consumer Discretionary,True,True,accept,
GUJINJEC,BSE_IN,Stock,Gujarat Inject Kerala Ltd,524238,GUJINJEC,Gujarat Inject Kerala Ltd,INE659F01014,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,Health Care,True,True,accept,
GUJINTRX,BSE_IN,Stock,Gujarat Intrux Ltd-$,517372,GUJINTRX,Gujarat Intrux Ltd-$,INE877E01015,Industrials,Capital Goods,Industrial Products,Castings & Forgings,Industrials,True,True,accept,
GUJINV,BSE_IN,Stock,Gujarat Investa Ltd,531341,GUJINV,Gujarat Investa Ltd,INE373D01017,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),Financials,True,True,accept,
GUJPETR,BSE_IN,Stock,Gujarat Petrosynthese Ltd,506858,GUJPETR,Gujarat Petrosynthese Ltd,INE636P01011,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals,Materials,True,True,accept,
GUJSTATFIN,BSE_IN,Stock,Gujarat State Financial Corporation,532160,GUJSTATFIN,Gujarat State Financial Corporation,INE944A01011,Financial Services,Financial Services,Finance,Financial Institution,Financials,True,True,accept,
GUJTERC,BSE_IN,Stock,Gujarat Terce Laboratories Ltd,524314,GUJTERC,Gujarat Terce Laboratories Ltd,INE499G01013,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,Health Care,True,True,accept,
GUJTLRM,BSE_IN,Stock,Gujarat Toolroom Ltd,513337,GUJTLRM,Gujarat Toolroom Ltd,INE145J01032,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,Industrials,True,True,accept,
GUJWIND,BSE_IN,Stock,Gujarat Winding Systems Ltd,541627,GUJWIND,Gujarat Winding Systems Ltd,INE173V01013,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,Materials,True,True,accept,
GVBL,BSE_IN,Stock,Genomic Valley Biotech Ltd,539206,GVBL,Genomic Valley Biotech Ltd,INE574D01010,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Biotechnology,Health Care,True,True,accept,
GVFILM,BSE_IN,Stock,GV Films Ltd,,,,,,,,,,False,False,no_bse_scrip_match,
GVL,BSE_IN,Stock,Greenhitech Ventures Ltd,544163,GVL,Greenhitech Ventures Ltd,INE0S0701019,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Lubricants,Energy,True,True,accept,
GVPIL,BSE_IN,Stock,GE Power India Ltd,532309,GVPIL,GE Power India Ltd,INE878A01011,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,Industrials,True,True,accept,
HALDYNGL,BSE_IN,Stock,Haldyn Glass Ltd-$,515147,HALDYNGL,Haldyn Glass Ltd-$,INE506D01020,Industrials,Capital Goods,Industrial Products,Packaging,Industrials,True,True,accept,
HAMPS,BSE_IN,Stock,Hamps Bio Ltd,544312,HAMPS,Hamps Bio Ltd,INE0QBD01018,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,Consumer Staples,True,True,accept,
HAMPTON,BSE_IN,Stock,Hampton Sky Realty Ltd,526407,HAMPTON,Hampton Sky Realty Ltd,INE299D01022,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",Consumer Discretionary,True,True,accept,
HANNAH,BSE_IN,Stock,Hannah Joseph Hospital Ltd,544687,HANNAH,Hannah Joseph Hospital Ltd,INE0JVH01012,Healthcare,Healthcare,Healthcare Services,Hospital,Health Care,True,True,accept,
HANSUGAR,BSE_IN,Stock,Shree Hanuman Sugar & Industries Ltd,537709,HANSUGAR,Shree Hanuman Sugar & Industries Ltd,INE101H01013,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,Consumer Staples,True,True,accept,
HARAFIN,BSE_IN,Stock,Haryana Financial Corporation Ltd,530927,HARAFIN,Haryana Financial Corporation Ltd,INE737G01016,Financial Services,Financial Services,Finance,Financial Institution,Financials,True,True,accept,
HARCR,BSE_IN,Stock,Harig Crankshafts Ltd,,,,,,,,,,False,False,no_bse_scrip_match,
HARIGOV,BSE_IN,Stock,Hari Govind International Ltd,531971,HARIGOV,Hari Govind International Ltd,INE167F01018,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,Consumer Discretionary,True,True,accept,
HARSHDEEP,BSE_IN,Stock,Harshdeep Hortico Ltd,544105,HARSHDEEP,Harshdeep Hortico Ltd,INE0OLZ01015,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,Consumer Staples,True,True,accept,
HARSHILAGR,BSE_IN,Stock,Harshil Agrotech Ltd,505336,HARSHILAGR,Harshil Agrotech Ltd,INE098E01026,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,Consumer Staples,True,True,accept,
