source_id,source_key,provider,source_url,authority_level,reference_scope,license_status,license_name,license_url,derived_facts_redistribution_status,raw_redistribution_allowed,attribution_required,commercial_use_status,terms_version,terms_sha256,license_reviewed_at,freshness_sla_days,enabled
ecd97547-f46c-54bd-b670-198fd4be9e2e,bursa_equity_isin,Bursa Malaysia,https://www.bursamalaysia.com/trade/trading_resources/equities/isin,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
f1af66b1-820d-5857-954e-6759d0af76ef,bvb_fund_units_directory,BVB,https://m.bvb.ro/FinancialInstruments/Markets/FundUnits,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
f12ca7b3-5581-54ad-b3a4-8f73d3970c6d,bvb_shares_directory,BVB,https://m.bvb.ro/FinancialInstruments/Markets/Shares,official,exchange_directory,review_required,,,review_required,false,review_required,review_required,,,,7,true
f07248f5-9d03-5f7e-933c-8d969bb252ca,bvc_colombia_issuers,BVC,https://rest.bvc.com.co/market-information/rv/lvl-3/issuer?filters[marketDataRv][type]=Local,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
13ec8c01-2fc7-514f-a63a-7cc663defca5,bvl_issuers_directory,CAVALI,https://cavali-corporativa.screativa.com/emisores,official,security_lookup_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
ea2ef0bf-a8b8-5463-a7bc-1bfcfb71c5cd,byma_equity_details,BYMA,https://open.bymadata.com.ar/vanoms-be-core/rest/api/bymadata/free/bnown/fichatecnica/especies/general,official,security_lookup_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
33b72d83-c3a6-5830-aeac-781a059f4a47,cboe_canada_listing_directory,Cboe Canada,https://www-api.cboe.com/ca/equities/listing-directory-data/,official,exchange_directory,review_required,,,review_required,false,review_required,review_required,,,,7,true
488cd0e4-224d-5431-b5d2-cab3f1f71c95,cse_lk_all_security_code,CSE Sri Lanka,https://www.cse.lk/api/allSecurityCode,official,exchange_directory,review_required,,,review_required,false,review_required,review_required,,,,7,true
68776c96-d2d5-5deb-9c21-6226fc808e81,cse_lk_company_info_summary,CSE Sri Lanka,https://www.cse.lk/api/companyInfoSummery,official,exchange_directory,review_required,,,review_required,false,review_required,review_required,,,,7,true
d0df9687-6b11-5b44-9b67-e6bcfb217f21,cse_ma_listed_companies,Casablanca Stock Exchange,https://www.casablanca-bourse.com/en/marche-cash/instruments-actions,official,exchange_directory,review_required,,,review_required,false,review_required,review_required,,,,7,true
3a20b591-9f59-5bcb-a44f-a639d7aed0be,deutsche_boerse_etfs_etps,Deutsche Boerse,https://www.cashmarket.deutsche-boerse.com/resource/blob/1553442/2936716b8f6c2d7a0bb85337485bdcdb/data/Master_DataSheet_Download.xls,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
07928a61-adae-5e77-97c8-aebac9f2089b,deutsche_boerse_frankfurt_all_tradable_equities,Deutsche Boerse,https://www.cashmarket.deutsche-boerse.com/resource/blob/2289108/3a67eacf4ad3419344f37b88a755943f/data/t7-xfra-BF-allTradableInstruments.csv,official,exchange_directory,review_required,,,review_required,false,review_required,review_required,,,,7,true
4b065bea-5722-541b-aa77-b514802808ac,deutsche_boerse_listed_companies,Deutsche Boerse,https://www.cashmarket.deutsche-boerse.com/resource/blob/67858/dd766fc6588100c79294324175f95501/data/Listed-companies.xlsx,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
